"","Amp_name","Chr","Start","End","Color","Color2","L1_DNA_count","L2_DNA_count","L3_DNA_count","L4_DNA_count","L1_RNA_count","L2_RNA_count","L3_RNA_count","L4_RNA_count","DNA_count_mean","DNA_count_SD","RNA_count_mean","RNA_count_SD","Pass_DNA_count","L1_DNA_prop","L2_DNA_prop","L3_DNA_prop","L4_DNA_prop","L1_RNA_prop","L2_RNA_prop","L3_RNA_prop","L4_RNA_prop","DNA_prop_mean","DNA_prop_SD","RNA_prop_mean","RNA_prop_SD","Sign","L1_Activity","L2_Activity","L3_Activity","L4_Activity","Mean_act","Mean_act_SD","Maxi_counts","Maxi_prop","GC","GC_above_mean","Perfect_In_silico_specificity","Amp_name2","At_least_1_specific_in_sil_prod","MeanRatio_MoM","MeanRatio","MeanRatio_sd","MSD","Amp_Full_Name","Pass_MeanRatio_SD","Pass_prop_DNA_and_RNA","Passed_QC","Passed_QC_with_SD","Act_Rank_Clean","training","fit","lwr","upr","Residuals_Manual","Residuals_Z_scaled_to_lm","Pvalue"
"1_LD","1_LD","12",2221756,2222671,"STAR408","LD",1981,1193,1662,2327,42,8978,43,4,1790.75,482.231185912594,2266.75,4474.20349522311,TRUE,0.000132546204479723,0.000131070924354374,0.000128280542443714,0.000272438984003531,3.7406457027148e-06,0.00055961921608901,3.28348507473164e-06,8.66983516486511e-07,0.000166084163820335,7.09252733986507e-05,0.000141877582595736,0.000278497276233339,"Negative",0.0282214471353424,4.26959082531514,0.0255961271458791,0.00318230344184251,1.08164767575955,2.12532513407318,717,4.39080053667818e-05,0.36,"FALSE",TRUE,"1_LD",TRUE,0.854251117820086,1.08164767575955,2.12532513407318,-1.04367745831363,"1_CACNA1C",FALSE,TRUE,TRUE,FALSE,139,TRUE,-12.4943563857427,-12.7849878936925,-12.203724877793,-0.28870933980564,-0.371952096703186,0.645035742110452
"10_LD","10_LD","12",2259007,2259927,"STAR408","LD",17461,6058,11225,5406,16133,10677,16020,223,10037.5,5591.83097622475,10763.25,7473.77514490948,TRUE,0.00116560777855324,0.000663996116226613,0.000864358920358807,0.000632398992084218,0.0012998873259127,0.000665457562000744,0.00109499691074464,2.67103962724882e-05,0.00083159045180572,0.000245225369842424,0.000771763048732642,0.000562672104973332,"Negative",1.11520131370959,1.00220098542509,1.26683127223364,0.0422366205620567,0.856617547982594,0.553639984004459,7542,0.000458646089303572,0.44,"TRUE",TRUE,"10_LD",TRUE,0.928056649829049,0.856617547982594,0.553639984004459,0.302977563978135,"10_CACNA1C",TRUE,TRUE,TRUE,TRUE,147,TRUE,-10.4884960042046,-10.6552713522431,-10.3217206561661,0.1489415953465,0.191885509186308,0.423915944257166
"100_LD","100_LD","2",166103938,166104812,"STAR408","LD",36341,21702,26774,16499,40793,64333,53532,24897,25329,8455.29810237345,45888.75,16982.6368658305,TRUE,0.00242556918155764,0.00237768197473623,0.00206118864933526,0.00192926043074582,0.00328627581227017,0.00400793095119438,0.00365820364691098,0.00293840156678202,0.00219842505909374,0.000241530483578249,0.00347270299428939,0.000462281504283473,"Positive",1.35484728172536,1.68564635379338,1.77480292650106,1.52307149410932,1.58459201403228,0.185256207454369,33563,0.0020398768119584,0.38,"FALSE",TRUE,"100_LD",TRUE,1.57963219165676,1.58459201403228,0.185256207454369,1.39933580657791,"100_SCN1A",TRUE,TRUE,TRUE,TRUE,236,TRUE,-8.78750311073975,-8.89844543649594,-8.67656078498355,0.617777854422565,0.79590001627228,0.213045075901939
"101_LD","101_LD","2",166108137,166109012,"STAR408","LD",36149,15376,17365,12573,481,1166,54092,1106,20365.75,10704.2053846452,14211.25,26588.9708384887,TRUE,0.00241275601474742,0.00168471491126577,0.00133696388118686,0.00147027927071828,3.91025494136204e-05,7.29746261758465e-05,0.00369646862271214,0.00013091009245308,0.00172617851947958,0.000479611074375999,0.000984863972688672,0.00180813383148088,"Negative",0.0162065907926931,0.0433157121646288,2.7648231001055,0.0890375692973795,0.728345743090051,1.3579842024387,24892,0.00151296195103299,0.34,"FALSE",TRUE,"101_LD",TRUE,0.570545839595775,0.728345743090051,1.3579842024387,-0.629638459348653,"101_SCN1A",FALSE,TRUE,TRUE,FALSE,84,TRUE,-8.96186043959536,-9.10667892289783,-8.81704195629288,-1.02592746358751,-1.32173026131972,0.906871005967081
"102_LD","102_LD","2",166111466,166112355,"STAR408","LD",47610,19710,38153,19728,9858,26481,56571,21078,31300.25,13919.0396310234,28497,19955.5139748391,TRUE,0.00317760864397588,0.00215947293419985,0.00293704725670699,0.00230675665227636,0.000794429590637223,0.00164995975081124,0.00386585947094621,0.00248773493063968,0.00264522137178977,0.000489594548468365,0.00219949593575859,0.00130844062434796,"Negative",0.250008632165356,0.764056693964818,1.31624013271091,1.07845573055343,0.852190297348628,0.460770581342251,34427,0.00209237991884798,0.37,"FALSE",TRUE,"102_LD",TRUE,0.831497869787133,0.852190297348628,0.460770581342251,0.391419716006377,"102_SCN1A",TRUE,TRUE,TRUE,TRUE,135,TRUE,-8.47020891600155,-8.59445066018275,-8.34596717182034,-0.358402433230346,-0.46173960493725,0.677865967024714
"103_LD","103_LD","2",166112828,166113742,"STAR408","LD",53297,15108,15414,13420,26368,30385,92098,16026,24309.75,19344.7140820604,41219.25,34454.2578246869,TRUE,0.00355713197548467,0.00165535747006911,0.00118679250031137,0.00156930042266513,0.00212432715388791,0.00189315745677911,0.00629343053396022,0.00189156634048753,0.00199214559213257,0.00106301462189512,0.00305062037127869,0.00216463726911384,"Positive",0.597202231609205,1.143654764007,5.30289038084508,1.20535642071332,2.06227594929365,2.17762859189753,21089,0.00128186320624008,0.35,"FALSE",TRUE,"103_LD",TRUE,1.53132400730463,2.06227594929365,2.17762859189753,-0.115352642603883,"103_SCN1A",FALSE,TRUE,TRUE,FALSE,230,TRUE,-8.7964760764319,-8.93270104639211,-8.6602511064717,0.439794449382148,0.56659915358553,0.28549327508253
"105_LD","105_LD","2",166121820,166122705,"STAR408","LD",4477,5378,6290,5875,195,403,722,296,5505,780.179039280942,404,228.378341062953,TRUE,0.000299117373012508,0.000589507086324635,0.000484504607380559,0.00068722888613743,1.60649538297502e-05,2.54439269818189e-05,4.96797682336393e-05,3.53248671911555e-05,0.000515089488213783,0.000166081647296543,3.1628379059091e-05,1.43757240745971e-05,"Negative",0.0537078594531467,0.0431613589930744,0.102537246244632,0.0514018952109229,0.0627020899754441,0.0269398739586283,5764,0.000350601501283116,0.37,"FALSE",TRUE,"105_LD",TRUE,0.0614036585541111,0.0627020899754441,0.0269398739586283,0.0357622160168158,"105_SCN1A",TRUE,TRUE,TRUE,TRUE,2,FALSE,-10.8756489527858,-11.0593608088163,-10.6919370967552,-4.07277190140543,-5.24706283884472,0.999999922728401
"106_LD","106_LD","2",166124622,166125521,"STAR408","LD",77755,58171,78103,56276,13220,7511,32445,11407,67576.25,11980.1752178338,16145.75,11124.1512447767,TRUE,0.00518934256842331,0.00637259437399393,0.00601205836176899,0.00657951351337832,0.00106524216529796,0.00046823319286799,0.00221732231705548,0.00134649454359269,0.00603837720439114,0.000612666879555159,0.00127432305470353,0.000727541984189105,"Negative",0.205274974864806,0.0734760704021604,0.36881250707005,0.20464955970602,0.213053278010759,0.120932293456758,114643,0.00696690448164264,0.43,"TRUE",TRUE,"106_LD",TRUE,0.211037338604292,0.213053278010759,0.120932293456758,0.0921209845540013,"106_SCN1A",TRUE,TRUE,TRUE,TRUE,23,FALSE,-7.52852469107897,-7.66729475075483,-7.38975463140312,-2.0875285307951,-2.68941979667049,0.996421182774819
"108_LD","108_LD","2",166133080,166133979,"STAR408","LD",21203,13317,14324,11862,51026,78797,29839,28577,15176.5,4142.82950811801,47059.75,23531.1882031061,TRUE,0.00141533106086481,0.00145916651043023,0.00110289357404059,0.00138715761896597,0.00411055453817836,0.00490895851756714,0.00203925351895222,0.0033726653062436,0.0013411371910754,0.000161568923768107,0.00360785797023533,0.0012194810354504,"Positive",2.90430603258766,3.36422093193446,1.84900299262889,2.43134973281384,2.63721992249121,0.648982260018804,14873,0.000904132520562269,0.36,"FALSE",TRUE,"108_LD",TRUE,2.69014832654245,2.63721992249121,0.648982260018804,1.98823766247241,"108_SCN1A",TRUE,TRUE,TRUE,TRUE,276,TRUE,-9.42350595671883,-9.55186253241171,-9.29514938102595,1.30886421750416,1.68624537858104,0.0458742734184788
"109_LD","109_LD","2",166134644,166135572,"STAR408","LD",23209,11949,13633,16163,349,8404,181,4284,16238.5,4959.23418147063,3304.5,3892.53786108755,TRUE,0.00154920195993403,0.00130931210909801,0.00104970627307443,0.00188997931261814,2.84698129902957e-05,0.000523862176328365,1.27130683971606e-05,0.000505934593542456,0.00144954991368115,0.000357514645172435,0.000267744912814569,0.000285554543381768,"Negative",0.0183770829927868,0.40010488919197,0.0121110721382334,0.267693191224193,0.174571558886796,0.191769866890941,17068,0.00103751714975513,0.34,"FALSE",TRUE,"109_LD",TRUE,0.184708998488108,0.174571558886796,0.191769866890941,-0.0171983080041457,"109_SCN1A",FALSE,TRUE,TRUE,FALSE,18,FALSE,-9.21863503447123,-9.36308204912722,-9.07418801981523,-2.64821818122096,-3.41177152667019,0.999677289073905
